,Name,ID,Status,Class,Mass (g),Fall,Year,Latitude,Longitude,GeoLocation
10,Aioun el Atrouss,423.0,Valid,Diogenite-pm,1000.0,Observed,1974.0,16.39806,-9.57028,"(16.398060, -9.570280)"
11,Aïr,424.0,Valid,L6,24000.0,Observed,1925.0,19.08333,8.38333,"(19.083330, 8.383330)"
12,Akaba,426.0,Valid,L6,779.0,Observed,1949.0,29.51667,35.05,"(29.516670, 35.050000)"
14,Akwanga,432.0,Valid,H,3000.0,Observed,1959.0,8.91667,8.43333,"(8.916670, 8.433330)"
16,Al Rais,446.0,Valid,CR2-an,160.0,Observed,1957.0,24.41667,39.51667,"(24.416670, 39.516670)"
17,Al Zarnkh,447.0,Valid,LL5,700.0,Observed,2001.0,13.66033,28.96,"(13.660330, 28.960000)"
20,Alberta,454.0,Valid,L,625.0,Observed,1949.0,2.0,22.66667,"(2.000000, 22.666670)"
29,Almahata Sitta,48915.0,Valid,Ureilite-an,3950.0,Observed,2008.0,20.74575,32.41275,"(20.745750, 32.412750)"
37,Ankober,2304.0,Valid,H4,6500.0,Observed,1942.0,9.53333,39.71667,"(9.533330, 39.716670)"
60,Awere,4910.0,Valid,L4,134.0,Observed,1968.0,2.71667,32.83333,"(2.716670, 32.833330)"
66,Bali,4928.0,Valid,CV3,1000.0,Observed,1907.0,5.38333,16.38333,"(5.383330, 16.383330)"
78,Bassikounou,44876.0,Valid,H5,29560.0,Observed,2006.0,15.78333,-5.9,"(15.783330, -5.900000)"
83,Bawku,4976.0,Valid,LL5,1557.0,Observed,1989.0,11.08333,-0.18333,"(11.083330, -0.183330)"
90,Benguerir,30443.0,Valid,LL6,25000.0,Observed,2004.0,32.25,-8.15,"(32.250000, -8.150000)"
91,Beni M'hira,5018.0,Valid,L6,19000.0,Observed,2001.0,32.86667,10.8,"(32.866670, 10.800000)"
93,Benoni,5023.0,Valid,H6,3880.0,Observed,1943.0,-26.16667,28.41667,"(-26.166670, 28.416670)"
94,Bensour,5024.0,Valid,LL6,45000.0,Observed,2002.0,30.0,-7.0,"(30.000000, -7.000000)"
97,Béréba,5028.0,Valid,Eucrite-mmict,18000.0,Observed,1924.0,11.65,-3.65,"(11.650000, -3.650000)"
102,Beyrout,5035.0,Valid,LL3.8,1100.0,Observed,1921.0,33.88333,35.5,"(33.883330, 35.500000)"
110,Bilanga,5045.0,Valid,Diogenite,25000.0,Observed,1999.0,12.45,-0.08333,"(12.450000, -0.083330)"
112,Birni N'konni,5056.0,Valid,H4,560.0,Observed,1923.0,13.76667,5.3,"(13.766670, 5.300000)"
124,Bogou,5097.0,Valid,"Iron, IAB-MG",8800.0,Observed,1962.0,12.5,0.7,"(12.500000, 0.700000)"
132,Boumdeid (2003),57168.0,Valid,L6,190.0,Observed,2003.0,17.71067,-11.3715,"(17.710670, -11.371500)"
133,Boumdeid (2011),57167.0,Valid,L6,3599.0,Observed,2011.0,17.17493,-11.34133,"(17.174930, -11.341330)"
143,Bununu,5165.0,Valid,Howardite,357.0,Observed,1942.0,10.01667,9.58333,"(10.016670, 9.583330)"
144,Bur-Gheluai,5169.0,Valid,H5,120000.0,Observed,1919.0,5.0,48.0,"(5.000000, 48.000000)"
186,Chela,5338.0,Valid,H4,2936.0,Observed,1988.0,-3.66667,32.5,"(-3.666670, 32.500000)"
188,Chergach ,47347.0,Valid,H5,100000.0,Observed,2007.0,23.69639,-5.01472,"(23.696390, -5.014720)"
196,Chisenga,5355.0,Valid,"Iron, IIIAB",3920.0,Observed,1988.0,-10.05944,33.395,"(-10.059440, 33.395000)"
201,Cold Bokkeveld,5397.0,Valid,CM2,5200.0,Observed,1838.0,-33.13333,19.38333,"(-33.133330, 19.383330)"
208,Cronstad,5474.0,Valid,H5,3650.0,Observed,1877.0,-27.7,27.3,"(-27.700000, 27.300000)"
215,Daniel's Kuil,5513.0,Valid,EL6,1064.0,Observed,1868.0,-28.2,24.56667,"(-28.200000, 24.566670)"
233,Diep River,7642.0,Valid,L6,1000.0,Observed,1906.0,-33.75,18.56667,"(-33.750000, 18.566670)"
236,Djermaia,7656.0,Valid,H,3950.0,Observed,1961.0,12.73333,15.05,"(12.733330, 15.050000)"
245,Dosso,7722.0,Valid,L6,1250.0,Observed,1962.0,13.05,3.16667,"(13.050000, 3.166670)"
246,Douar Mghila,7723.0,Valid,LL6,1161.0,Observed,1932.0,32.33333,-6.3,"(32.333330, -6.300000)"
247,Dowa,7725.0,Valid,Stone-uncl,642.0,Observed,1976.0,-13.66667,33.91667,"(-13.666670, 33.916670)"
254,Duruma,7752.0,Valid,L6,577.0,Observed,1853.0,-4.0,39.5,"(-4.000000, 39.500000)"
256,Dwaleni,7755.0,Valid,H4-6,3230.0,Observed,1970.0,-27.2,31.31667,"(-27.200000, 31.316670)"
260,Ehole,7774.0,Valid,H5,2400.0,Observed,1961.0,-17.3,15.83333,"(-17.300000, 15.833330)"
264,El Idrissia,7807.0,Valid,L6,10000.0,Observed,1989.0,34.41667,3.25,"(34.416670, 3.250000)"
277,Ergheo,10044.0,Valid,L5,20000.0,Observed,1889.0,1.16667,44.16667,"(1.166670, 44.166670)"
280,Essebi,10055.0,Valid,C2-ung,500.0,Observed,1957.0,2.88333,30.83333,"(2.883330, 30.833330)"
304,Galim (a),10848.0,Valid,LL6,36.1,Observed,1952.0,7.05,12.43333,"(7.050000, 12.433330)"
305,Galim (b),10849.0,Valid,EH3/4-an,28.0,Observed,1952.0,7.05,12.43333,"(7.050000, 12.433330)"
310,Gashua,44882.0,Valid,L6,4162.0,Observed,1984.0,12.85,11.03333,"(12.850000, 11.033330)"
311,Geidam,10870.0,Valid,H5,725.0,Observed,1950.0,12.91667,11.91667,"(12.916670, 11.916670)"
314,Git-Git,10919.0,Valid,L6,480.0,Observed,1947.0,9.6,9.91667,"(9.600000, 9.916670)"
335,Guibga,11442.0,Valid,L5,288.0,Observed,1972.0,13.5,-0.68333,"(13.500000, -0.683330)"
336,Guidder,11443.0,Valid,LL5,968.0,Observed,1949.0,9.91667,13.98333,"(9.916670, 13.983330)"
338,Gujba,11449.0,Valid,CBa,100000.0,Observed,1984.0,11.49167,11.65833,"(11.491670, 11.658330)"
341,Gursum,11465.0,Valid,H4/5,34650.0,Observed,1981.0,9.36667,42.41667,"(9.366670, 42.416670)"
353,Hassi-Jekna,11852.0,Valid,"Iron, IAB-sHL",1250.0,Observed,1890.0,28.95,0.81667,"(28.950000, 0.816670)"
357,Hedjaz,11870.0,Valid,L3.7-6,6100.0,Observed,1910.0,27.33333,35.66667,"(27.333330, 35.666670)"
363,Hoima,44714.0,Valid,H6,167.7,Observed,2003.0,1.345,31.47278,"(1.345000, 31.472780)"
366,Holetta,11895.0,Valid,Stone-uncl,1415.0,Observed,1923.0,9.06667,38.41667,"(9.066670, 38.416670)"
378,Idutywa,12000.0,Valid,H5,3457.0,Observed,1956.0,-32.1,28.33333,"(-32.100000, 28.333330)"
386,Ishinga,12049.0,Valid,H,1300.0,Observed,1954.0,-8.93333,33.8,"(-8.933330, 33.800000)"
389,Itqiy,12058.0,Valid,EH7-an,4720.0,Observed,1990.0,26.59083,-12.95217,"(26.590830, -12.952170)"
390,Ivuna,12063.0,Valid,CI1,704.5,Observed,1938.0,-8.41667,32.43333,"(-8.416670, 32.433330)"
391,Jackalsfontein,12065.0,Valid,L6,48000.0,Observed,1903.0,-32.5,21.9,"(-32.500000, 21.900000)"
405,Jolomba,12199.0,Valid,LL6,483.0,Observed,1974.0,-11.85,15.83333,"(-11.850000, 15.833330)"
414,Kabo,12220.0,Valid,H4,13400.0,Observed,1971.0,11.85,8.21667,"(11.850000, 8.216670)"
418,Kaidun,12228.0,Valid,CR2,2000.0,Observed,1980.0,15.0,48.3,"(15.000000, 48.300000)"
