,Name,ID,Status,Class,Mass (g),Fall,Year,Latitude,Longitude,GeoLocation
0,Aachen,1.0,Valid,L5,21.0,Observed,1880.0,50.775,6.08333,"(50.775000, 6.083330)"
1,Aarhus,2.0,Valid,H6,720.0,Observed,1951.0,56.18333,10.23333,"(56.183330, 10.233330)"
2,Abee,6.0,Valid,EH4,107000.0,Observed,1952.0,54.21667,-113.0,"(54.216670, -113.000000)"
3,Acapulco,10.0,Valid,Acapulcoite,1914.0,Observed,1976.0,16.88333,-99.9,"(16.883330, -99.900000)"
4,Achiras,370.0,Valid,L6,780.0,Observed,1902.0,-33.16667,-64.95,"(-33.166670, -64.950000)"
5,Adhi Kot,379.0,Valid,EH4,4239.0,Observed,1919.0,32.1,71.8,"(32.100000, 71.800000)"
6,Adzhi-Bogdo (stone),390.0,Valid,LL3-6,910.0,Observed,1949.0,44.83333,95.16667,"(44.833330, 95.166670)"
7,Agen,392.0,Valid,H5,30000.0,Observed,1814.0,44.21667,0.61667,"(44.216670, 0.616670)"
8,Aguada,398.0,Valid,L6,1620.0,Observed,1930.0,-31.6,-65.23333,"(-31.600000, -65.233330)"
9,Aguila Blanca,417.0,Valid,L,1440.0,Observed,1920.0,-30.86667,-64.55,"(-30.866670, -64.550000)"
10,Aioun el Atrouss,423.0,Valid,Diogenite-pm,1000.0,Observed,1974.0,16.39806,-9.57028,"(16.398060, -9.570280)"
11,Aïr,424.0,Valid,L6,24000.0,Observed,1925.0,19.08333,8.38333,"(19.083330, 8.383330)"
12,Akaba,426.0,Valid,L6,779.0,Observed,1949.0,29.51667,35.05,"(29.516670, 35.050000)"
13,Akbarpur,427.0,Valid,H4,1800.0,Observed,1838.0,29.71667,77.95,"(29.716670, 77.950000)"
14,Akwanga,432.0,Valid,H,3000.0,Observed,1959.0,8.91667,8.43333,"(8.916670, 8.433330)"
15,Akyumak,433.0,Valid,"Iron, IVA",50000.0,Observed,1981.0,39.91667,42.81667,"(39.916670, 42.816670)"
16,Al Rais,446.0,Valid,CR2-an,160.0,Observed,1957.0,24.41667,39.51667,"(24.416670, 39.516670)"
17,Al Zarnkh,447.0,Valid,LL5,700.0,Observed,2001.0,13.66033,28.96,"(13.660330, 28.960000)"
18,Alais,448.0,Valid,CI1,6000.0,Observed,1806.0,44.11667,4.08333,"(44.116670, 4.083330)"
19,Albareto,453.0,Valid,L/LL4,2000.0,Observed,1766.0,44.65,11.01667,"(44.650000, 11.016670)"
20,Alberta,454.0,Valid,L,625.0,Observed,1949.0,2.0,22.66667,"(2.000000, 22.666670)"
21,Alby sur Chéran,458.0,Valid,Eucrite-mmict,252.0,Observed,2002.0,45.82133,6.01533,"(45.821330, 6.015330)"
22,Aldsworth,461.0,Valid,LL5,700.0,Observed,1835.0,51.78333,-1.78333,"(51.783330, -1.783330)"
23,Aleppo,462.0,Valid,L6,3200.0,Observed,1873.0,36.23333,37.13333,"(36.233330, 37.133330)"
24,Alessandria,463.0,Valid,H5,908.0,Observed,1860.0,44.88333,8.75,"(44.883330, 8.750000)"
25,Alexandrovsky,465.0,Valid,H4,9251.0,Observed,1900.0,50.95,31.81667,"(50.950000, 31.816670)"
26,Alfianello,466.0,Valid,L6,228000.0,Observed,1883.0,45.26667,10.15,"(45.266670, 10.150000)"
27,Allegan,2276.0,Valid,H5,32000.0,Observed,1899.0,42.53333,-85.88333,"(42.533330, -85.883330)"
28,Allende,2278.0,Valid,CV3,2000000.0,Observed,1969.0,26.96667,-105.31667,"(26.966670, -105.316670)"
29,Almahata Sitta,48915.0,Valid,Ureilite-an,3950.0,Observed,2008.0,20.74575,32.41275,"(20.745750, 32.412750)"
30,Alta'ameem,2284.0,Valid,LL5,6000.0,Observed,1977.0,35.27333,44.21556,"(35.273330, 44.215560)"
31,Ambapur Nagla,2290.0,Valid,H5,6400.0,Observed,1895.0,27.66667,78.25,"(27.666670, 78.250000)"
32,Andhara,2294.0,Valid,Stone-uncl,2700.0,Observed,1880.0,26.58333,85.56667,"(26.583330, 85.566670)"
33,Andover,2295.0,Valid,L6,3200.0,Observed,1898.0,44.61667,-70.75,"(44.616670, -70.750000)"
34,Andreevka,2296.0,Valid,L3,600.0,Observed,1969.0,48.7,37.5,"(48.700000, 37.500000)"
35,Andura,2298.0,Valid,H6,17900.0,Observed,1939.0,20.88333,76.86667,"(20.883330, 76.866670)"
36,Angra dos Reis (stone),2302.0,Valid,Angrite,1500.0,Observed,1869.0,-22.96667,-44.31667,"(-22.966670, -44.316670)"
37,Ankober,2304.0,Valid,H4,6500.0,Observed,1942.0,9.53333,39.71667,"(9.533330, 39.716670)"
38,Anlong,2305.0,Valid,H5,2500.0,Observed,1971.0,25.15,105.18333,"(25.150000, 105.183330)"
39,Aomori,2313.0,Valid,L6,320.0,Observed,1984.0,40.81056,140.78556,"(40.810560, 140.785560)"
40,Appley Bridge,2318.0,Valid,LL6,15000.0,Observed,1914.0,53.58333,-2.71667,"(53.583330, -2.716670)"
41,Apt,2320.0,Valid,L6,3200.0,Observed,1803.0,43.86667,5.38333,"(43.866670, 5.383330)"
42,Arbol Solo,2325.0,Valid,H5,810.0,Observed,1954.0,-33.0,-66.0,"(-33.000000, -66.000000)"
43,Archie,2329.0,Valid,H6,5070.0,Observed,1932.0,38.5,-94.3,"(38.500000, -94.300000)"
44,Arroyo Aguiar,2340.0,Valid,H5,7450.0,Observed,1950.0,-31.41667,-60.66667,"(-31.416670, -60.666670)"
45,Asco,2345.0,Valid,H6,41.0,Observed,1805.0,42.45,9.03333,"(42.450000, 9.033330)"
46,Ash Creek,48954.0,Valid,L6,9500.0,Observed,2009.0,31.805,-97.01,"(31.805000, -97.010000)"
47,Ashdon,2346.0,Valid,L6,1300.0,Observed,1923.0,52.05,0.3,"(52.050000, 0.300000)"
48,Assisi,2353.0,Valid,H5,2000.0,Observed,1886.0,43.03333,12.55,"(43.033330, 12.550000)"
49,Atarra,4883.0,Valid,L4,1280.0,Observed,1920.0,25.25417,80.625,"(25.254170, 80.625000)"
50,Atemajac,4884.0,Valid,L6,94.2,Observed,1896.0,20.06667,-103.66667,"(20.066670, -103.666670)"
51,Athens,4885.0,Valid,LL6,265.0,Observed,1933.0,34.75,-87.0,"(34.750000, -87.000000)"
52,Atoka,4888.0,Valid,L6,1384.2,Observed,1945.0,34.31667,-96.15,"(34.316670, -96.150000)"
53,Aubres,4893.0,Valid,Aubrite,800.0,Observed,1836.0,44.38333,5.16667,"(44.383330, 5.166670)"
54,Aumale,4899.0,Valid,L6,50000.0,Observed,1865.0,36.16667,3.66667,"(36.166670, 3.666670)"
55,Aumieres,4900.0,Valid,L6,2000.0,Observed,1842.0,44.33333,3.23333,"(44.333330, 3.233330)"
56,Ausson,4903.0,Valid,L5,50000.0,Observed,1858.0,43.08333,0.58333,"(43.083330, 0.583330)"
57,Avanhandava,4905.0,Valid,H4,9330.0,Observed,1952.0,-21.46028,-49.95083,"(-21.460280, -49.950830)"
58,Avce,4906.0,Valid,"Iron, IIAB",1230.0,Observed,1908.0,46.0,13.5,"(46.000000, 13.500000)"
59,Avilez,4907.0,Valid,H,146.0,Observed,1855.0,25.0,-103.5,"(25.000000, -103.500000)"
60,Awere,4910.0,Valid,L4,134.0,Observed,1968.0,2.71667,32.83333,"(2.716670, 32.833330)"
61,Aztec,4913.0,Valid,L6,2830.0,Observed,1938.0,36.8,-108.0,"(36.800000, -108.000000)"
62,Bachmut,4917.0,Valid,L6,18000.0,Observed,1814.0,48.6,38.0,"(48.600000, 38.000000)"
63,Bahjoi,4922.0,Valid,"Iron, IAB-sLL",10322.0,Observed,1934.0,28.48333,78.5,"(28.483330, 78.500000)"
64,Bald Mountain,4925.0,Valid,L4,3700.0,Observed,1929.0,35.96667,-82.48333,"(35.966670, -82.483330)"
65,Baldwyn,4926.0,Valid,L6,345.0,Observed,1922.0,34.5,-88.66667,"(34.500000, -88.666670)"
66,Bali,4928.0,Valid,CV3,1000.0,Observed,1907.0,5.38333,16.38333,"(5.383330, 16.383330)"
67,Ban Rong Du,4934.0,Valid,"Iron, ungrouped",16700.0,Observed,1993.0,16.66667,101.18333,"(16.666670, 101.183330)"
68,Bandong,4935.0,Valid,LL6,11500.0,Observed,1871.0,-6.91667,107.6,"(-6.916670, 107.600000)"
69,Bansur,4936.0,Valid,L6,15000.0,Observed,1892.0,27.7,76.33333,"(27.700000, 76.333330)"
70,Banswal,4937.0,Valid,L5,14.0,Observed,1913.0,30.4,78.2,"(30.400000, 78.200000)"
71,Banten,4938.0,Valid,CM2,629.0,Observed,1933.0,-6.33333,106.0,"(-6.333330, 106.000000)"
72,Barbotan,4942.0,Valid,H5,6400.0,Observed,1790.0,43.95,-0.05,"(43.950000, -0.050000)"
73,Barea,4946.0,Valid,Mesosiderite-A1,3200.0,Observed,1842.0,42.38333,-2.5,"(42.383330, -2.500000)"
74,Barnaul,4947.0,Valid,H5,23.2,Observed,1904.0,52.73333,84.08333,"(52.733330, 84.083330)"
75,Barntrup,4948.0,Valid,LL4,17.0,Observed,1886.0,52.0,9.1,"(52.000000, 9.100000)"
76,Baroti,4949.0,Valid,L6,4500.0,Observed,1910.0,31.61667,76.8,"(31.616670, 76.800000)"
77,Barwell,4954.0,Valid,L5,44000.0,Observed,1965.0,52.56528,-1.33972,"(52.565280, -1.339720)"
78,Bassikounou,44876.0,Valid,H5,29560.0,Observed,2006.0,15.78333,-5.9,"(15.783330, -5.900000)"
79,Baszkówka,4957.0,Valid,L5,15500.0,Observed,1994.0,52.03333,20.93583,"(52.033330, 20.935830)"
80,Bath,4974.0,Valid,H4,21000.0,Observed,1892.0,45.41667,-98.31667,"(45.416670, -98.316670)"
81,Bath Furnace,4975.0,Valid,L6,86000.0,Observed,1902.0,38.25,-83.75,"(38.250000, -83.750000)"
82,Battle Mountain,56133.0,Valid,L6,2900.0,Observed,2012.0,40.66813,-117.18913,"(40.668130, -117.189130)"
83,Bawku,4976.0,Valid,LL5,1557.0,Observed,1989.0,11.08333,-0.18333,"(11.083330, -0.183330)"
84,Baxter,4977.0,Valid,L6,611.0,Observed,1916.0,36.75,-93.5,"(36.750000, -93.500000)"
85,Beardsley,4984.0,Valid,H5,16000.0,Observed,1929.0,39.8,-101.2,"(39.800000, -101.200000)"
86,Beaver Creek,4986.0,Valid,H5,14000.0,Observed,1893.0,51.16667,-117.33333,"(51.166670, -117.333330)"
87,Beddgelert,4993.0,Valid,H5,794.0,Observed,1949.0,53.01667,-4.1,"(53.016670, -4.100000)"
88,Bells,5005.0,Valid,C2-ung,375.0,Observed,1961.0,33.6,-96.46667,"(33.600000, -96.466670)"
89,Benares (a),5011.0,Valid,LL4,3700.0,Observed,1798.0,25.36667,82.91667,"(25.366670, 82.916670)"
