,Name,ID,Status,Class,Mass (g),Fall,Year,Latitude,Longitude,GeoLocation
1472,Adelie Land,378.0,Valid,L5,1000.0,Found,1912.0,-67.18333,142.38333,"(-67.183330, 142.383330)"
1585,Allan Hills 06001,44858.0,Valid,H5,128.1,Found,2006.0,-76.71695,158.76862,"(-76.716950, 158.768620)"
1586,Allan Hills 06002,44859.0,Valid,H~5,119.2,Found,2006.0,-76.74253,158.84305,"(-76.742530, 158.843050)"
1587,Allan Hills 06003,44860.0,Valid,H~5,25.0,Found,2006.0,-76.71128,158.79283,"(-76.711280, 158.792830)"
1588,Allan Hills 06004,44861.0,Valid,H~5,61.7,Found,2006.0,-76.70522,158.77838,"(-76.705220, 158.778380)"
1589,Allan Hills 06005,44862.0,Valid,H~5,6.0,Found,2006.0,-76.70522,158.77838,"(-76.705220, 158.778380)"
1590,Allan Hills 06006,44863.0,Valid,H~5,280.9,Found,2006.0,-76.70558,158.77587,"(-76.705580, 158.775870)"
1591,Allan Hills 06007,44864.0,Valid,H5,226.3,Found,2006.0,-76.70552,158.77583,"(-76.705520, 158.775830)"
1592,Allan Hills 06008,44865.0,Valid,H~5,120.0,Found,2006.0,-76.70552,158.77485,"(-76.705520, 158.774850)"
1593,Allan Hills 06009,44866.0,Valid,H~5,28.6,Found,2006.0,-76.71215,158.77527,"(-76.712150, 158.775270)"
1594,Allan Hills 06010,44867.0,Valid,H~5,1.08,Found,2006.0,-76.71263,158.77862,"(-76.712630, 158.778620)"
1595,Allan Hills 06011,44868.0,Valid,H~5,24.3,Found,2006.0,-76.71255,158.7786,"(-76.712550, 158.778600)"
1596,Allan Hills 06012,44869.0,Valid,H5,91.0,Found,2006.0,-76.71733,158.77398,"(-76.717330, 158.773980)"
1597,Allan Hills 09001,55346.0,Valid,L5/6,0.5,Found,2009.0,-76.74403,159.37238,"(-76.744030, 159.372380)"
1598,Allan Hills 09002,55347.0,Valid,L6,71.6,Found,2009.0,-76.74245,159.37458,"(-76.742450, 159.374580)"
1599,Allan Hills 09003,55348.0,Valid,L6,15.5,Found,2009.0,-76.74245,159.37458,"(-76.742450, 159.374580)"
1600,Allan Hills 82100,476.0,Valid,CM2,24.3,Found,1982.0,-76.97691,156.93841,"(-76.976910, 156.938410)"
1601,Allan Hills 82101,477.0,Valid,CO3.4,29.1,Found,1982.0,-76.88426,156.93086,"(-76.884260, 156.930860)"
1602,Allan Hills 82102,478.0,Valid,H5,48.1,Found,1982.0,-77.04666,157.24407,"(-77.046660, 157.244070)"
1603,Allan Hills 82103,479.0,Valid,H5,2529.2,Found,1982.0,-76.89661,156.99137,"(-76.896610, 156.991370)"
1604,Allan Hills 82104,480.0,Valid,L5,398.8,Found,1982.0,-77.05074,157.19834,"(-77.050740, 157.198340)"
1605,Allan Hills 82105,481.0,Valid,L6,363.3,Found,1982.0,-77.04867,157.18333,"(-77.048670, 157.183330)"
1606,Allan Hills 82106,482.0,Valid,Ureilite,35.1,Found,1982.0,-77.03788,157.2516,"(-77.037880, 157.251600)"
1607,Allan Hills 82107,483.0,Valid,L5,9.2,Found,1982.0,-76.97697,156.91541,"(-76.976970, 156.915410)"
1608,Allan Hills 82108,484.0,Valid,H5,13.5,Found,1982.0,-76.96353,156.9203,"(-76.963530, 156.920300)"
1609,Allan Hills 82109,485.0,Valid,H5,47.2,Found,1982.0,-77.02778,157.03028,"(-77.027780, 157.030280)"
1610,Allan Hills 82110,486.0,Valid,H3.6,39.3,Found,1982.0,-77.03342,157.25235,"(-77.033420, 157.252350)"
1611,Allan Hills 82111,487.0,Valid,L6,63.0,Found,1982.0,-76.91278,156.97551,"(-76.912780, 156.975510)"
1612,Allan Hills 82112,488.0,Valid,H5,28.3,Found,1982.0,-76.96674,156.91777,"(-76.966740, 156.917770)"
1613,Allan Hills 82113,489.0,Valid,H6,61.2,Found,1982.0,-76.97126,156.90291,"(-76.971260, 156.902910)"
1614,Allan Hills 82114,490.0,Valid,H5,40.7,Found,1982.0,-77.03648,157.23968,"(-77.036480, 157.239680)"
1615,Allan Hills 82115,491.0,Valid,H5,48.5,Found,1982.0,-76.97442,156.90877,"(-76.974420, 156.908770)"
1616,Allan Hills 82116,492.0,Valid,H6,18.4,Found,1982.0,-77.03694,157.04639,"(-77.036940, 157.046390)"
1617,Allan Hills 82117,493.0,Valid,L5,4.2,Found,1982.0,-77.04025,157.2305,"(-77.040250, 157.230500)"
1618,Allan Hills 82118,494.0,Valid,L6,110.9,Found,1982.0,-77.04408,157.2676,"(-77.044080, 157.267600)"
1619,Allan Hills 82119,495.0,Valid,H5,23.9,Found,1982.0,-76.9791,156.92267,"(-76.979100, 156.922670)"
1620,Allan Hills 82120,496.0,Valid,H5,7.2,Found,1982.0,-76.90581,157.00988,"(-76.905810, 157.009880)"
1621,Allan Hills 82121,497.0,Valid,L6,2.4,Found,1982.0,-77.03722,157.23658,"(-77.037220, 157.236580)"
1622,Allan Hills 82122,498.0,Valid,H5,142.0,Found,1982.0,-76.98507,156.90009,"(-76.985070, 156.900090)"
1623,Allan Hills 82123,499.0,Valid,L6,110.8,Found,1982.0,-76.94677,156.92971,"(-76.946770, 156.929710)"
1624,Allan Hills 82124,500.0,Valid,H6,25.8,Found,1982.0,-77.03811,157.24166,"(-77.038110, 157.241660)"
1625,Allan Hills 82125,501.0,Valid,L6,178.4,Found,1982.0,-76.98262,156.90998,"(-76.982620, 156.909980)"
1626,Allan Hills 82126,502.0,Valid,H4,139.9,Found,1982.0,-76.90692,157.0235,"(-76.906920, 157.023500)"
1627,Allan Hills 82127,503.0,Valid,H6,5.1,Found,1982.0,-76.96966,156.90165,"(-76.969660, 156.901650)"
1628,Allan Hills 82128,504.0,Valid,H4,15.2,Found,1982.0,-76.96339,156.91969,"(-76.963390, 156.919690)"
1629,Allan Hills 82129,505.0,Valid,H5,14.1,Found,1982.0,-76.97495,156.91895,"(-76.974950, 156.918950)"
1630,Allan Hills 82130,506.0,Valid,Ureilite,44.6,Found,1982.0,-77.04237,157.25116,"(-77.042370, 157.251160)"
