,Name,ID,Status,Class,Mass (g),Fall,Year,Latitude,Longitude,GeoLocation
5,Adhi Kot,379.0,Valid,EH4,4239.0,Observed,1919.0,32.1,71.8,"(32.100000, 71.800000)"
6,Adzhi-Bogdo (stone),390.0,Valid,LL3-6,910.0,Observed,1949.0,44.83333,95.16667,"(44.833330, 95.166670)"
13,Akbarpur,427.0,Valid,H4,1800.0,Observed,1838.0,29.71667,77.95,"(29.716670, 77.950000)"
31,Ambapur Nagla,2290.0,Valid,H5,6400.0,Observed,1895.0,27.66667,78.25,"(27.666670, 78.250000)"
32,Andhara,2294.0,Valid,Stone-uncl,2700.0,Observed,1880.0,26.58333,85.56667,"(26.583330, 85.566670)"
35,Andura,2298.0,Valid,H6,17900.0,Observed,1939.0,20.88333,76.86667,"(20.883330, 76.866670)"
38,Anlong,2305.0,Valid,H5,2500.0,Observed,1971.0,25.15,105.18333,"(25.150000, 105.183330)"
39,Aomori,2313.0,Valid,L6,320.0,Observed,1984.0,40.81056,140.78556,"(40.810560, 140.785560)"
49,Atarra,4883.0,Valid,L4,1280.0,Observed,1920.0,25.25417,80.625,"(25.254170, 80.625000)"
63,Bahjoi,4922.0,Valid,"Iron, IAB-sLL",10322.0,Observed,1934.0,28.48333,78.5,"(28.483330, 78.500000)"
67,Ban Rong Du,4934.0,Valid,"Iron, ungrouped",16700.0,Observed,1993.0,16.66667,101.18333,"(16.666670, 101.183330)"
69,Bansur,4936.0,Valid,L6,15000.0,Observed,1892.0,27.7,76.33333,"(27.700000, 76.333330)"
70,Banswal,4937.0,Valid,L5,14.0,Observed,1913.0,30.4,78.2,"(30.400000, 78.200000)"
74,Barnaul,4947.0,Valid,H5,23.2,Observed,1904.0,52.73333,84.08333,"(52.733330, 84.083330)"
76,Baroti,4949.0,Valid,L6,4500.0,Observed,1910.0,31.61667,76.8,"(31.616670, 76.800000)"
89,Benares (a),5011.0,Valid,LL4,3700.0,Observed,1798.0,25.36667,82.91667,"(25.366670, 82.916670)"
103,Bhagur,5037.0,Valid,L6,18.0,Observed,1877.0,20.88333,74.83333,"(20.883330, 74.833330)"
104,Bhawad,36591.0,Valid,LL6,678.0,Observed,2002.0,26.50833,73.11528,"(26.508330, 73.115280)"
105,Bherai,5039.0,Valid,L6,100.0,Observed,1893.0,20.83333,71.46667,"(20.833330, 71.466670)"
106,Bhola,5040.0,Valid,LL3-6,1047.0,Observed,1940.0,22.68333,90.65,"(22.683330, 90.650000)"
107,Bholghati,5041.0,Valid,Howardite,2500.0,Observed,1905.0,22.08333,86.9,"(22.083330, 86.900000)"
114,Bishunpur,5060.0,Valid,LL3.15,1039.0,Observed,1895.0,25.38333,82.6,"(25.383330, 82.600000)"
122,Bo Xian,5090.0,Valid,LL3.9,7500.0,Observed,1977.0,33.83333,115.83333,"(33.833330, 115.833330)"
125,Boguslavka,5098.0,Valid,"Iron, IIAB",256000.0,Observed,1916.0,44.55,131.63333,"(44.550000, 131.633330)"
127,Bori,5111.0,Valid,L6,8600.0,Observed,1894.0,21.95,78.03333,"(21.950000, 78.033330)"
128,Boriskino,5112.0,Valid,CM2,1342.0,Observed,1930.0,54.23333,52.48333,"(54.233330, 52.483330)"
139,Brient,5140.0,Valid,Eucrite-pmict,219.0,Observed,1933.0,52.13333,59.31667,"(52.133330, 59.316670)"
141,Bukhara,30448.0,Valid,CV3,5300.0,Observed,2001.0,39.77978,64.60035,"(39.779780, 64.600350)"
