,Name,ID,Status,Class,Mass (g),Fall,Year,Latitude,Longitude,GeoLocation
1,Aarhus,2.0,Valid,H6,720.0,Observed,1951.0,56.18333,10.23333,"(56.183330, 10.233330)"
6,Adzhi-Bogdo (stone),390.0,Valid,LL3-6,910.0,Observed,1949.0,44.83333,95.16667,"(44.833330, 95.166670)"
15,Akyumak,433.0,Valid,"Iron, IVA",50000.0,Observed,1981.0,39.91667,42.81667,"(39.916670, 42.816670)"
19,Albareto,453.0,Valid,L/LL4,2000.0,Observed,1766.0,44.65,11.01667,"(44.650000, 11.016670)"
23,Aleppo,462.0,Valid,L6,3200.0,Observed,1873.0,36.23333,37.13333,"(36.233330, 37.133330)"
25,Alexandrovsky,465.0,Valid,H4,9251.0,Observed,1900.0,50.95,31.81667,"(50.950000, 31.816670)"
26,Alfianello,466.0,Valid,L6,228000.0,Observed,1883.0,45.26667,10.15,"(45.266670, 10.150000)"
30,Alta'ameem,2284.0,Valid,LL5,6000.0,Observed,1977.0,35.27333,44.21556,"(35.273330, 44.215560)"
34,Andreevka,2296.0,Valid,L3,600.0,Observed,1969.0,48.7,37.5,"(48.700000, 37.500000)"
39,Aomori,2313.0,Valid,L6,320.0,Observed,1984.0,40.81056,140.78556,"(40.810560, 140.785560)"
48,Assisi,2353.0,Valid,H5,2000.0,Observed,1886.0,43.03333,12.55,"(43.033330, 12.550000)"
58,Avce,4906.0,Valid,"Iron, IIAB",1230.0,Observed,1908.0,46.0,13.5,"(46.000000, 13.500000)"
62,Bachmut,4917.0,Valid,L6,18000.0,Observed,1814.0,48.6,38.0,"(48.600000, 38.000000)"
74,Barnaul,4947.0,Valid,H5,23.2,Observed,1904.0,52.73333,84.08333,"(52.733330, 84.083330)"
79,Baszkówka,4957.0,Valid,L5,15500.0,Observed,1994.0,52.03333,20.93583,"(52.033330, 20.935830)"
108,Bialystok,5042.0,Valid,Eucrite-pmict,4000.0,Observed,1827.0,53.1,23.2,"(53.100000, 23.200000)"
109,Bielokrynitschie,5043.0,Valid,H4,1900.0,Observed,1887.0,50.13333,27.16667,"(50.133330, 27.166670)"
115,Bjelaja Zerkov,5063.0,Valid,H6,1850.0,Observed,1796.0,49.78333,30.16667,"(49.783330, 30.166670)"
116,Bjurböle,5064.0,Valid,L/LL4,330000.0,Observed,1899.0,60.4,25.8,"(60.400000, 25.800000)"
120,Blansko,5072.0,Valid,H6,470.0,Observed,1833.0,49.36667,16.63333,"(49.366670, 16.633330)"
125,Boguslavka,5098.0,Valid,"Iron, IIAB",256000.0,Observed,1916.0,44.55,131.63333,"(44.550000, 131.633330)"
126,Borgo San Donino,5110.0,Valid,LL6,1676.0,Observed,1808.0,44.86667,10.05,"(44.866670, 10.050000)"
128,Boriskino,5112.0,Valid,CM2,1342.0,Observed,1930.0,54.23333,52.48333,"(54.233330, 52.483330)"
129,Borkut,5113.0,Valid,L5,7000.0,Observed,1852.0,48.15,24.28333,"(48.150000, 24.283330)"
130,Borodino,5114.0,Valid,H5,500.0,Observed,1812.0,55.46667,35.86667,"(55.466670, 35.866670)"
131,Botschetschki,5117.0,Valid,L4,614.0,Observed,1823.0,51.33333,33.88333,"(51.333330, 33.883330)"
136,Braunau,5133.0,Valid,"Iron, IIAB",39000.0,Observed,1847.0,50.6,16.3,"(50.600000, 16.300000)"
139,Brient,5140.0,Valid,Eucrite-pmict,219.0,Observed,1933.0,52.13333,59.31667,"(52.133330, 59.316670)"
141,Bukhara,30448.0,Valid,CV3,5300.0,Observed,2001.0,39.77978,64.60035,"(39.779780, 64.600350)"
146,Bursa,5177.0,Valid,L6,25000.0,Observed,1946.0,40.2,29.23333,"(40.200000, 29.233330)"
147,Buschhof,5178.0,Valid,L6,5000.0,Observed,1863.0,46.45,25.78333,"(46.450000, 25.783330)"
153,Cacak,5187.0,Valid,OC,212.0,Observed,1919.0,43.83889,20.33333,"(43.838890, 20.333330)"
157,Çanakkale,5250.0,Valid,L6,4000.0,Observed,1964.0,39.8,26.6,"(39.800000, 26.600000)"
164,Caratash,5265.0,Valid,LL6,8.0,Observed,1902.0,38.5,27.0,"(38.500000, 27.000000)"
167,Castrovillari,5295.0,Valid,Stone-uncl,15000.0,Observed,1583.0,39.8,16.2,"(39.800000, 16.200000)"
187,Chelyabinsk,57165.0,Valid,LL5,100000.0,Observed,2013.0,54.81667,61.11667,"(54.816670, 61.116670)"
189,Chernyi Bor,5339.0,Valid,H4,6000.0,Observed,1964.0,53.7,30.1,"(53.700000, 30.100000)"
192,Chervony Kut,5342.0,Valid,Eucrite-mmict,1700.0,Observed,1939.0,50.83333,34.0,"(50.833330, 34.000000)"
203,Collescipoli,5403.0,Valid,H5,5000.0,Observed,1890.0,42.53333,12.61667,"(42.533330, 12.616670)"
218,Dashoguz,6604.0,Valid,H5,7000.0,Observed,1998.0,41.98444,59.685,"(41.984440, 59.685000)"
223,Demina,6649.0,Valid,L6,16400.0,Observed,1911.0,51.46667,84.76667,"(51.466670, 84.766670)"
232,Didim,47350.0,Valid,H3-5,3396.0,Observed,2007.0,37.35172,27.32997,"(37.351720, 27.329970)"
239,Dolgovoli,7659.0,Valid,L6,1600.0,Observed,1864.0,50.75,25.3,"(50.750000, 25.300000)"
240,Domanitch,7661.0,Valid,L5,438.0,Observed,1907.0,40.0,29.0,"(40.000000, 29.000000)"
241,Dong Ujimqin Qi,7706.0,Valid,Mesosiderite,128800.0,Observed,1995.0,45.5,119.03333,"(45.500000, 119.033330)"
244,Doroninsk,7718.0,Valid,H5-7,3891.0,Observed,1805.0,51.2,112.3,"(51.200000, 112.300000)"
250,Dubrovnik,7736.0,Valid,L3-6,1900.0,Observed,1951.0,42.45833,18.44167,"(42.458330, 18.441670)"
261,Eichstädt,7775.0,Valid,H5,3000.0,Observed,1785.0,48.9,11.21667,"(48.900000, 11.216670)"
262,Ekeby,7776.0,Valid,H4,3336.0,Observed,1939.0,56.03333,13.0,"(56.033330, 13.000000)"
268,Elbogen,7823.0,Valid,"Iron, IID",107000.0,Observed,1399.0,50.18333,12.73333,"(50.183330, 12.733330)"
269,Elenovka,7824.0,Valid,L5,54640.0,Observed,1951.0,47.83333,37.66667,"(47.833330, 37.666670)"
276,Erevan,10043.0,Valid,Howardite,107.2,Observed,1911.0,40.3,44.5,"(40.300000, 44.500000)"
278,Erxleben,10049.0,Valid,H6,2250.0,Observed,1812.0,52.21667,11.25,"(52.216670, 11.250000)"
290,Fermo,10091.0,Valid,H3-5,10200.0,Observed,1996.0,43.18111,13.75333,"(43.181110, 13.753330)"
306,Galkiv,10850.0,Valid,H4,5000.0,Observed,1995.0,51.68333,30.78333,"(51.683330, 30.783330)"
312,Gifu,10914.0,Valid,L6,14290.0,Observed,1909.0,35.53333,136.88333,"(35.533330, 136.883330)"
313,Girgenti,10917.0,Valid,L6,18000.0,Observed,1853.0,37.31667,13.56667,"(37.316670, 13.566670)"
317,Glasatovo,10926.0,Valid,H4,152000.0,Observed,1918.0,57.35,37.61667,"(57.350000, 37.616670)"
319,Gnadenfrei,10936.0,Valid,H5,1750.0,Observed,1879.0,50.66667,16.76667,"(50.666670, 16.766670)"
321,Gorlovka,10949.0,Valid,H3.7,3618.0,Observed,1974.0,48.28333,38.08333,"(48.283330, 38.083330)"
323,Grefsheim,11196.0,Valid,L5,45.5,Observed,1976.0,60.66667,11.0,"(60.666670, 11.000000)"
325,Grosnaja,11206.0,Valid,CV3,3500.0,Observed,1861.0,43.66667,45.38333,"(43.666670, 45.383330)"
326,Gross-Divina,11207.0,Valid,H5,10500.0,Observed,1837.0,49.26667,18.71667,"(49.266670, 18.716670)"
327,Grossliebenthal,11208.0,Valid,L6,8000.0,Observed,1881.0,46.35,30.58333,"(46.350000, 30.583330)"
328,Grüneberg,11426.0,Valid,H4,1000.0,Observed,1841.0,51.93333,15.5,"(51.933330, 15.500000)"
329,Grzempach,11429.0,Valid,H5,690.0,Observed,1910.0,52.86667,16.63333,"(52.866670, 16.633330)"
331,Guangmingshan,11435.0,Valid,H5,2910.0,Observed,1996.0,39.80417,122.76389,"(39.804170, 122.763890)"
