,Name,ID,Status,Class,Mass (g),Fall,Year,Latitude,Longitude,GeoLocation
2,Abee,6.0,Valid,EH4,107000.0,Observed,1952.0,54.21667,-113.0,"(54.216670, -113.000000)"
3,Acapulco,10.0,Valid,Acapulcoite,1914.0,Observed,1976.0,16.88333,-99.9,"(16.883330, -99.900000)"
27,Allegan,2276.0,Valid,H5,32000.0,Observed,1899.0,42.53333,-85.88333,"(42.533330, -85.883330)"
28,Allende,2278.0,Valid,CV3,2000000.0,Observed,1969.0,26.96667,-105.31667,"(26.966670, -105.316670)"
33,Andover,2295.0,Valid,L6,3200.0,Observed,1898.0,44.61667,-70.75,"(44.616670, -70.750000)"
43,Archie,2329.0,Valid,H6,5070.0,Observed,1932.0,38.5,-94.3,"(38.500000, -94.300000)"
46,Ash Creek,48954.0,Valid,L6,9500.0,Observed,2009.0,31.805,-97.01,"(31.805000, -97.010000)"
50,Atemajac,4884.0,Valid,L6,94.2,Observed,1896.0,20.06667,-103.66667,"(20.066670, -103.666670)"
51,Athens,4885.0,Valid,LL6,265.0,Observed,1933.0,34.75,-87.0,"(34.750000, -87.000000)"
52,Atoka,4888.0,Valid,L6,1384.2,Observed,1945.0,34.31667,-96.15,"(34.316670, -96.150000)"
59,Avilez,4907.0,Valid,H,146.0,Observed,1855.0,25.0,-103.5,"(25.000000, -103.500000)"
61,Aztec,4913.0,Valid,L6,2830.0,Observed,1938.0,36.8,-108.0,"(36.800000, -108.000000)"
64,Bald Mountain,4925.0,Valid,L4,3700.0,Observed,1929.0,35.96667,-82.48333,"(35.966670, -82.483330)"
65,Baldwyn,4926.0,Valid,L6,345.0,Observed,1922.0,34.5,-88.66667,"(34.500000, -88.666670)"
80,Bath,4974.0,Valid,H4,21000.0,Observed,1892.0,45.41667,-98.31667,"(45.416670, -98.316670)"
81,Bath Furnace,4975.0,Valid,L6,86000.0,Observed,1902.0,38.25,-83.75,"(38.250000, -83.750000)"
82,Battle Mountain,56133.0,Valid,L6,2900.0,Observed,2012.0,40.66813,-117.18913,"(40.668130, -117.189130)"
84,Baxter,4977.0,Valid,L6,611.0,Observed,1916.0,36.75,-93.5,"(36.750000, -93.500000)"
85,Beardsley,4984.0,Valid,H5,16000.0,Observed,1929.0,39.8,-101.2,"(39.800000, -101.200000)"
86,Beaver Creek,4986.0,Valid,H5,14000.0,Observed,1893.0,51.16667,-117.33333,"(51.166670, -117.333330)"
88,Bells,5005.0,Valid,C2-ung,375.0,Observed,1961.0,33.6,-96.46667,"(33.600000, -96.466670)"
92,Benld,5021.0,Valid,H6,1770.5,Observed,1938.0,39.08333,-89.15,"(39.083330, -89.150000)"
95,Benton,5026.0,Valid,LL6,2840.0,Observed,1949.0,45.95,-67.55,"(45.950000, -67.550000)"
99,Berthoud,47355.0,Valid,Eucrite-mmict,960.0,Observed,2004.0,40.30583,-105.02325,"(40.305830, -105.023250)"
100,Bethlehem,5032.0,Valid,H,13.9,Observed,1859.0,42.53333,-73.83333,"(42.533330, -73.833330)"
