,Name,ID,Status,Class,Mass (g),Fall,Year,Latitude,Longitude,GeoLocation
68,Bandong,4935.0,Valid,LL6,11500.0,Observed,1871.0,-6.91667,107.6,"(-6.916670, 107.600000)"
71,Banten,4938.0,Valid,CM2,629.0,Observed,1933.0,-6.33333,106.0,"(-6.333330, 106.000000)"
111,Binningup,5051.0,Valid,H5,488.1,Observed,1984.0,-33.15639,115.67639,"(-33.156390, 115.676390)"
142,Bunburra Rockhole,48653.0,Valid,Eucrite,324.0,Observed,2007.0,-31.35,129.19,"(-31.350000, 129.190000)"
198,Cilimus,5364.0,Valid,L5,1600.0,Observed,1979.0,-6.95,108.1,"(-6.950000, 108.100000)"
235,Djati-Pengilon,7652.0,Valid,H6,166000.0,Observed,1884.0,-7.5,111.5,"(-7.500000, 111.500000)"
251,Dunbogan,7743.0,Valid,L6,30.0,Observed,1999.0,-31.66667,152.83333,"(-31.666670, 152.833330)"
258,Dyarrl Island,7758.0,Valid,Mesosiderite-A1,188.0,Observed,1933.0,-3.0,151.0,"(-3.000000, 151.000000)"
271,Emmaville,10033.0,Valid,Eucrite-mmict,127.0,Observed,1900.0,-29.46667,151.61667,"(-29.466670, 151.616670)"
294,Forest Vale,10120.0,Valid,H4,26000.0,Observed,1942.0,-33.35,146.85833,"(-33.350000, 146.858330)"
316,Glanggang,10924.0,Valid,H5-6,1303.0,Observed,1939.0,-7.25,107.7,"(-7.250000, 107.700000)"
380,Ijopega,12004.0,Valid,H6,7330.0,Observed,1975.0,-6.03333,145.36667,"(-6.033330, 145.366670)"
409,Jumapalo,12209.0,Valid,L6,32490.0,Observed,1984.0,-7.71667,111.2,"(-7.716670, 111.200000)"
428,Kangean,12245.0,Valid,H5,1630.0,Observed,1908.0,-7.0,115.5,"(-7.000000, 115.500000)"
438,Karoonda,12264.0,Valid,CK4,41730.0,Observed,1930.0,-35.08333,139.91667,"(-35.083330, 139.916670)"
444,Kediri,12270.0,Valid,L4,3300.0,Observed,1940.0,-7.75,112.01667,"(-7.750000, 112.016670)"
548,Madiun,15380.0,Valid,L6,400.0,Observed,1935.0,-7.75,111.53333,"(-7.750000, 111.533330)"
584,Meester-Cornelis,15470.0,Valid,H5,24750.0,Observed,1915.0,-6.23333,106.88333,"(-6.233330, 106.883330)"
601,Millbillillie,16643.0,Valid,Eucrite-mmict,330000.0,Observed,1960.0,-26.45,120.36667,"(-26.450000, 120.366670)"
612,Mokoia,16713.0,Valid,CV3,4500.0,Observed,1908.0,-39.63333,174.4,"(-39.633330, 174.400000)"
623,Moorleah,16738.0,Valid,L6,8887.5,Observed,1930.0,-40.975,145.6,"(-40.975000, 145.600000)"
630,Mount Browne,16766.0,Valid,H6,11300.0,Observed,1902.0,-29.8,141.7,"(-29.800000, 141.700000)"
637,Murchison,16875.0,Valid,CM2,100000.0,Observed,1969.0,-36.61667,145.2,"(-36.616670, 145.200000)"
652,Narellan,16912.0,Valid,L6,367.5,Observed,1928.0,-34.05,150.68889,"(-34.050000, 150.688890)"
653,Nassirah,16922.0,Valid,H4,347.0,Observed,1936.0,-21.73333,165.9,"(-21.733330, 165.900000)"
663,Ngawi,16966.0,Valid,LL3.6,1393.0,Observed,1883.0,-7.45,111.41667,"(-7.450000, 111.416670)"
803,Rembang,22585.0,Valid,"Iron, IVA",10000.0,Observed,1919.0,-6.73333,111.36667,"(-6.733330, 111.366670)"
817,Rockhampton,22640.0,Valid,Stone-uncl,1641.0,Observed,1895.0,-23.38333,150.51667,"(-23.383330, 150.516670)"
856,Selakopi,23481.0,Valid,H5,1590.0,Observed,1939.0,-7.23333,107.33333,"(-7.233330, 107.333330)"
933,Tambakwatu,23795.0,Valid,L6,10500.0,Observed,1975.0,-7.75,112.76667,"(-7.750000, 112.766670)"
941,Tenham,23897.0,Valid,L6,160000.0,Observed,1879.0,-25.73333,142.95,"(-25.733330, 142.950000)"
